TICKER.EXCHANGECODE,TICKER,EXCHANGECODE,ASK,BID,AVG,SUPPLY,DEMAND,TRADED
TRN.PP30D_CI1,TRN,PP30D_CI1,,,545.6868250385378,,,1172.0
TRA.PP7D_NC2,TRA,PP7D_NC2,,,838.68,,,0.0
AEF.PP7D_NC2,AEF,PP7D_NC2,,,4500.0,,,0.0
ABH.PP7D_CI2,ABH,PP7D_CI2,,,46000.0,,,0.0
AFP.PP30D_IC1,AFP,PP30D_IC1,,,134241.84,,,0.0
ALO.PP7D_CI1,ALO,PP7D_CI1,,,191.4023817623176,,,2604.0
BAC.PP7D_IC1,BAC,PP7D_IC1,,,2200.0,,,0.0
BHP.PP7D_AI1,BHP,PP7D_AI1,,,4336.41884868421,,,43.0
BND.PP7D_CI2,BND,PP7D_CI2,,,269.9,,,0.0
CBL.PP30D_CI1,CBL,PP30D_CI1,,,91543.54759521219,,,30.0
CQM.PP7D_CI2,CQM,PP7D_CI2,,,875000.0,,,0.0
EDC.PP30D_UNIVERSE,EDC,PP30D_UNIVERSE,,,8000.9883291446395,,,186.0
ARP.CI1,ARP,CI1,,,8500.0,0.0,0.0,0.0
ES.PP30D_NC2,ES,PP30D_NC2,,,1875.35,,,0.0
CD.AI1,CD,AI1,25000.0,10000.0,13000.0,32.0,48.0,2.0
EXO.PP7D_AI1,EXO,PP7D_AI1,,,311.73530090684255,,,2253.0
FAL.PP7D_CI1,FAL,PP7D_CI1,,,1666.77,,,10.0
HPR.PP30D_CI2,HPR,PP30D_CI2,,,1750000.0,,,0.0
FAN.PP7D_CI1,FAN,PP7D_CI1,,,2100.0,,,0.0
HYR.PP30D_UNIVERSE,HYR,PP30D_UNIVERSE,,,1729623.3973076923,,,0.0
KRE.PP7D_CI2,KRE,PP7D_CI2,,,15410.62,,,0.0
LCR.PP30D_UNIVERSE,LCR,PP30D_UNIVERSE,,,3132.7440758293837,,,2.0
MTP.PP7D_NC1,MTP,PP7D_NC1,,,1399.5585796476087,,,1192.0
NA.PP7D_AI1,NA,PP7D_AI1,,,25.003429935219916,,,10475.0
NA.PP7D_CI1,NA,PP7D_CI1,,,25.02491670052824,,,1406.0
VEG.PP7D_UNIVERSE,VEG,PP7D_UNIVERSE,,,290.83207617967827,,,1323.0
VG.PP30D_UNIVERSE,VG,PP30D_UNIVERSE,,,2346.9933768900505,,,43.0
WRH.PP30D_IC1,WRH,PP30D_IC1,,,3389.91,,,0.0
WRH.PP7D_NC1,WRH,PP7D_NC1,,,3389.91,,,0.0
PIB.NC2,PIB,NC2,700.0,,548.4,2000.0,0.0,0.0
HMS.CI2,HMS,CI2,1950.0,,1950.0,2053.0,0.0,495.0
AWF.CI1,AWF,CI1,5900.0,,5900.0,105.0,0.0,1.0
BRS.CI1,BRS,CI1,1000000.0,200000.0,420000.0,1.0,3.0,1.0
DOU.AI1,DOU,AI1,449000.0,,449000.0,3.0,0.0,1.0
FUN.PP30D_CI2,FUN,PP30D_CI2,,,59529.47,,,0.0
NA.PP7D_UNIVERSE,NA,PP7D_UNIVERSE,,,25.008239446024817,,,5348.0
NF.PP7D_CI1,NF,PP7D_CI1,,,10400.0,,,0.0
NF.PP7D_CI2,NF,PP7D_CI2,,,5092.5,,,0.0
NG.PP30D_AI1,NG,PP30D_AI1,,,979.7709143049932,,,191.0
NN.PP30D_IC1,NN,PP30D_IC1,,,50000.0,,,0.0
NV2.PP30D_UNIVERSE,NV2,PP30D_UNIVERSE,,,201196.99875502006,,,2.0
O.PP7D_NC1,O,PP7D_NC1,,,102.14939283590964,,,11534.0
PG.PP7D_IC1,PG,PP7D_IC1,,,47.60563441335203,,,74381.0
RDS.PP30D_NC1,RDS,PP30D_NC1,,,300000.0,,,0.0
RDS.PP7D_NC2,RDS,PP7D_NC2,,,207901.16,,,0.0
RHP.PP30D_UNIVERSE,RHP,PP30D_UNIVERSE,,,3634.281917808219,,,8.0
MCB.AI1,MCB,AI1,349000.0,,340000.0,1.0,0.0,1.0
HE.AI1,HE,AI1,114.0,105.0,105.0,55468.0,40275.0,100.0
FET.NC2,FET,NC2,,,1610.85,0.0,0.0,0.0
HPC.CI1,HPC,CI1,32900.0,25000.0,25964.29,66.0,20.0,0.0
NV1.CI1,NV1,CI1,190000.0,136000.0,172000.0,10.0,105.0,2.0
PBU.IC1,PBU,IC1,20900.0,18000.0,20900.0,242.0,213.0,
PPA.NC2,PPA,NC2,,220.0,100.0,0.0,1000.0,160.0
RDL.NC1,RDL,NC1,1500000.0,800000.0,1500000.0,1.0,1.0,2.0
SFK.NC2,SFK,NC2,50.0,,50.0,446.0,0.0,50.0
SRP.AI1,SRP,AI1,19500.0,4000.0,19900.0,320.0,200.0,0.0
TPU.NC2,TPU,NC2,4000.0,,1000.0,5.0,0.0,0.0
VOR.CI2,VOR,CI2,,,2518066.5,0.0,0.0,
WRH.NC2,WRH,NC2,,,3389.91,0.0,0.0,
PK.AI1,PK,AI1,475.0,450.0,450.0,2313.0,1430.0,9.0
AEF.PP30D_UNIVERSE,AEF,PP30D_UNIVERSE,,,5529.465587252234,,,208.0
ALG.PP7D_IC1,ALG,PP7D_IC1,,,294.6506214350045,,,476.0
CA.PP7D_NC1,CA,PP7D_NC1,,,1220.8202966101694,,,34.0
SIO.PP7D_CI2,SIO,PP7D_CI2,,,140.0,,,0.0
TA.PP7D_AI1,TA,PP7D_AI1,,,11600.0,,,7.0
CF.PP7D_NC2,CF,PP7D_NC2,,,7850.0,,,0.0
DD.PP30D_AI1,DD,PP30D_AI1,,,36000.0,,,0.0
EPO.PP7D_UNIVERSE,EPO,PP7D_UNIVERSE,,,172.43226115378647,,,32922.0
FE.PP7D_NC1,FE,PP7D_NC1,,,888.4522428449985,,,2017.0
FAN.PP7D_NC1,FAN,PP7D_NC1,,,2039.8319130434784,,,66.0
TRN.PP7D_CI1,TRN,PP7D_CI1,,,628.0846653919695,,,2017.0
HAL.PP7D_UNIVERSE,HAL,PP7D_UNIVERSE,,,395.3126923041462,,,3874.0
KRE.PP7D_NC1,KRE,PP7D_NC1,,,40000.0,,,6.0
N.PP7D_CI2,N,PP7D_CI2,,,130.0,,,0.0
NE.PP30D_CI1,NE,PP30D_CI1,,,481.300014803849,,,218.0
NFI.PP7D_NC1,NFI,PP7D_NC1,,,18.568974611603537,,,39439.0
NL.PP7D_NC1,NL,PP7D_NC1,,,6280.661149228131,,,333.0
NR.PP30D_CI1,NR,PP30D_CI1,,,362.49655262703084,,,7466.0
NS.PP7D_NC2,NS,PP7D_NC2,,,342.0,,,0.0
TRN.PP30D_CI2,TRN,PP30D_CI2,,,600.0,,,0.0
NST.PP7D_UNIVERSE,NST,PP7D_UNIVERSE,,,1547.9876510067113,,,32.0
NV2.PP7D_UNIVERSE,NV2,PP7D_UNIVERSE,,,202417.96712500002,,,3.0
PFE.PP30D_UNIVERSE,PFE,PP30D_UNIVERSE,,,740.5342679991843,,,198.0
TRN.PP30D_IC1,TRN,PP30D_IC1,,,444.7711405762525,,,352.0
VIT.PP7D_IC1,VIT,PP7D_IC1,,,779.0,,,0.0
SSL.AI1,SSL,AI1,65000.0,,50000.0,12.0,0.0,2.0
